# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 1, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
7.088307069676059058e+00 8.128559066133118904e+03 7.873282925611537000e+15 1.269263372366454275e+34 1.516075001204091922e-02 2.766427224969425455e-08 2.413429199549247642e+04 8.953571546948446485e+04 1.795296342166845989e+02 9.555902576282401806e-03 4.619894947808146668e+01 1.878017598136093369e+00 8.450309018914129444e-01 1.146510600882478137e+00 3.950589561267124350e-01 
7.004382724735168431e+00 8.091217346178379557e+03 7.729600778902527000e+15 1.246100164870444564e+34 1.493156471817781022e-02 2.753493244547397924e-08 2.401231048772776921e+04 8.866668285096276668e+04 1.794445881883258380e+02 9.455948763525496778e-03 4.656643466350715244e+01 1.831102010098611288e+00 8.518253027497649787e-01 1.148049465382619871e+00 3.942155946979625791e-01 
6.922118959313182884e+00 8.054047170040672427e+03 7.588540735257507000e+15 1.223359670416648506e+34 1.470239815522307592e-02 2.741253742095642905e-08 2.389145544234747285e+04 8.782827245092953672e+04 1.799662344717209237e+02 9.355475357486039284e-03 4.694515731860377628e+01 1.784484698067399178e+00 8.587596803017931713e-01 1.149725102674008514e+00 3.934480341006055260e-01 
6.841552260560155752e+00 8.017047749666274285e+03 7.450054943049538000e+15 1.201034174774806744e+34 1.447329034610987317e-02 2.729730044520930424e-08 2.377168273750660592e+04 8.702060949747500126e+04 1.788223146860660506e+02 9.254380487272095487e-03 4.733602706968073903e+01 1.738189811400966844e+00 8.658400664962134785e-01 1.151548452334215211e+00 3.927678298673735191e-01 
6.762684184100110407e+00 7.980218300621718299e+03 7.314096423911946000e+15 1.179116104494215958e+34 1.424433994006411852e-02 2.718934646924641322e-08 2.365295436691501527e+04 8.624355665520852199e+04 1.777587808979364752e+02 9.152604320162920429e-03 4.773980370547500485e+01 1.692254350375895555e+00 8.730678829226840021e-01 1.153525338030292779e+00 3.921827821374395118e-01 
6.685551576697954523e+00 7.943558042077109349e+03 7.180619056801713000e+15 1.157598024334563892e+34 1.401559742532794764e-02 2.708889351531540393e-08 2.353521877069098991e+04 8.549722150203783531e+04 1.775667049619558497e+02 9.050044769716925758e-03 4.815750654674868514e+01 1.646703858100594609e+00 8.804493299651341420e-01 1.155667170407604694e+00 3.917056596621078524e-01 
6.610176468471347988e+00 7.907066196789630339e+03 7.049577562354114000e+15 1.136472634743717795e+34 1.378714163369445557e-02 2.699611957690512465e-08 2.341842728175140292e+04 8.478159142151489505e+04 1.782508408164599985e+02 8.946622413938077820e-03 4.859010780424629417e+01 1.601569453850355540e+00 8.879887790320765140e-01 1.157983447233479568e+00 3.913477026880798348e-01 
6.536575722348246131e+00 7.870741991087012138e+03 6.920927487522460000e+15 1.115732769381475924e+34 1.355906141291201086e-02 2.691119151427419764e-08 2.330252876817985816e+04 8.409660726791759953e+04 1.775210686287186377e+02 8.842264588974781125e-03 4.903860872144269223e+01 1.556883635739314542e+00 8.956900426776308599e-01 1.160483027307531056e+00 3.911201641691199327e-01 
6.464794915073579951e+00 7.834584654851149935e+03 6.794625190498428000e+15 1.095371392688550694e+34 1.333141409044061657e-02 2.683435355072544399e-08 2.318745759350236767e+04 8.344239592117028951e+04 1.764607076044397331e+02 8.736863194741461766e-03 4.950426656824220117e+01 1.512671524411758783e+00 9.035608404254874548e-01 1.163179517998160994e+00 3.910389685851090036e-01 
6.394840808424804734e+00 7.798593421501802368e+03 6.670627825907583000e+15 1.075381597499918554e+34 1.310431001096874423e-02 2.676574517908931196e-08 2.307316138946706997e+04 8.281880092828314810e+04 1.767122663197566794e+02 8.630366664628809012e-03 4.998812348769298808e+01 1.468968198033494543e+00 9.116040466504665707e-01 1.166080799577286164e+00 3.911150690878983371e-01 
