# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.01, structure = BellLin, mu = 0.62
1.011637979766206970e+11 1.702828149247356923e+05 2.774311654580851155e+03 2.796204184023742976e+18 6.235202158803150269e+03 1.447063466112398187e+37 1.273462814514342289e-01 1.782447286465573067e-07 6.727188464840721281e+04 1.608024958991986234e+06 3.288163336080963199e+04 3.211969140558332964e-02 2.311843944242768956e+01 4.596285223178999679e+00 6.040837621975352345e-01 1.147899696524816493e+00 4.437647622339309095e-01 
1.047370897959448700e+11 1.762975178294513607e+05 2.710712744697561448e+03 2.796204184023742976e+18 6.075078306209339644e+03 1.472504951756011082e+37 1.255941512988407449e-01 1.679699375344979574e-07 6.538504585499888344e+04 1.472829549670546781e+06 3.256599081665117046e+04 3.129615701426826518e-02 2.338765466943536708e+01 4.446309766223308202e+00 6.134116547134835784e-01 1.147392309761571028e+00 4.429301435195419634e-01 
1.084365968689608612e+11 1.825246711276373244e+05 2.648235865313991781e+03 2.796204184023742976e+18 5.919064679177527069e+03 1.498391858344388394e+37 1.236837596767023650e-01 1.583078509565231547e-07 6.355620411484522629e+04 1.349282538489684230e+06 3.227449816940186793e+04 3.049710919891608987e-02 2.365840465647653446e+01 4.288130241852627478e+00 6.236424317544920770e-01 1.146859219082654535e+00 4.418694060916402711e-01 
1.122667773510811310e+11 1.889717789587998996e+05 2.586849168803290013e+03 2.796204184023742976e+18 5.767055851138788057e+03 1.524731984157113949e+37 1.216032119089958119e-01 1.492286509003778581e-07 6.178503430499331444e+04 1.236454104237048887e+06 3.202625750416456503e+04 2.972247280906010689e-02 2.393039655585673131e+01 4.121531014770931201e+00 6.348813889322079129e-01 1.146320228180150558e+00 4.405302542930770726e-01 
1.162322468679849396e+11 1.956466105224850180e+05 2.526533888001473770e+03 2.796204184023742976e+18 5.618949096328781707e+03 1.551533264003415401e+37 1.193400624891950979e-01 1.407056046405403526e-07 6.007149658864671073e+04 1.133502139476184500e+06 3.187936288458494164e+04 2.897218392379328003e-02 2.420335632751897137e+01 3.946362917157863137e+00 6.472481849356686023e-01 1.145807744971976350e+00 4.388525055169205658e-01 
1.203377840777590485e+11 2.025572094406883989e+05 2.467291198485801942e+03 2.796204184023742976e+18 5.474644320742822856e+03 1.578803771612488724e+37 1.168814500357815700e-01 1.327151815789782297e-07 5.841588985641566978e+04 1.039666613683116622e+06 3.226275976646183335e+04 2.824617590456096269e-02 2.447706015539484881e+01 3.762567425601078153e+00 6.608793885583614802e-01 1.145372464206139584e+00 4.367677766879982104e-01 
1.245883364295008087e+11 2.097119034509588964e+05 2.409151487786197777e+03 2.796204184023742976e+18 5.334043994849987030e+03 1.606551722065644930e+37 1.142142759772062088e-01 1.252373750555439031e-07 5.681884538613242330e+04 9.542646941062957048e+05 3.084192851621405862e+04 2.754422333024663522e-02 2.475148531906263827e+01 3.570209393460041181e+00 6.759310226825826495e-01 1.145089576550185617e+00 4.342035884601694318e-01 
1.289890261253308105e+11 2.171193144418885931e+05 2.352186370629096473e+03 2.796204184023742976e+18 5.197053088021425538e+03 1.634785474271075904e+37 1.113256300445280844e-01 1.182559472347013318e-07 5.528135066484592244e+04 8.766861228930982761e+05 3.039863100694057721e+04 2.686582737360420151e-02 2.502696132416688002e+01 3.369523054262574480e+00 6.925813887279537173e-01 1.145067787300626083e+00 4.310872310308186961e-01 
1.335451562929897461e+11 2.247883688430664479e+05 2.296524483289624641e+03 2.796204184023742976e+18 5.063579004629810697e+03 1.663513533481914658e+37 1.082033106464518751e-01 1.117588260347302757e-07 5.380471064679792471e+04 8.063890592969319550e+05 3.009690130178352774e+04 2.620995915560223738e-02 2.530446939011094543e+01 3.160964738835922994e+00 7.110343196904986840e-01 1.145459957648084615e+00 4.273549634436372702e-01 
1.382622173764653625e+11 2.327283083820286265e+05 2.242371802137957729e+03 2.796204184023742976e+18 4.933531521777327725e+03 1.692744553858393759e+37 1.048365306229581545e-01 1.057384878491954455e-07 5.239048832544784818e+04 7.428960297658942873e+05 2.985728601485789841e+04 2.557475717154004610e-02 2.558603838537098696e+01 2.945270673793713545e+00 7.315236555488265902e-01 1.146477053309737260e+00 4.229643760170090916e-01 
